hashtag,tweet,party,polarity
#humnibhayenge,  ritambharaa  from  nyay to   days of mnrega to   lakh jobs    incindia manifesto is a study in integrity  amp  honesty  the title   humn  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge,  mahilacongress  nyay is not only a game changer but it is the fulfillment of the promise that our founding fathers made    swaraj  for  ,congress,p
#humnibhayenge,momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at s    ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  geetv   rahul gandhi proves a serious contender with a  manifesto    humnibhayenge  congressmanifesto    nyayforindia  congressmani  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  geetv    rahulgandhi  what has modi done for our soldiers who carry out surgical strikes   what has modi done for our defence forces   ,congress,p
#humnibhayenge,  geetv   rahul gandhi proves a serious contender with a  manifesto    humnibhayenge  congressmanifesto    nyayforindia  congressmani  ,congress,p
#humnibhayenge,  geetv    rahulgandhi  what has modi done for our soldiers who carry out surgical strikes   what has modi done for our defence forces   ,congress,p
#humnibhayenge,  geetv    the tax burden of the middle class  the average tax payer will not increase  confirmed  pchidambaram_in   nyayforindia  congr  ,congress,p
#humnibhayenge,  geetv    separate kisan budget with clarity on msps benefits   apmc to be scrapped farmers free to sell produce at best prices  farm l  ,congress,p
#humnibhayenge,  geetv           govt vacancies to be filled by march           rural youth to be employed in gram panchayats      yr exempt  ,congress,p
#humnibhayenge,  geetv    the tax burden of the middle class  the average tax payer will not increase  confirmed  pchidambaram_in   nyayforindia  congr  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge, bharatbolemodimodi  phirekbaarmodisarkaar  deshkeliyemodi  indiawantsmodiagain  indiasaysnamoagain  humnibhayenge    ,congress,p
#humnibhayenge, humnibhayenge   congressmanifesto  the key to internal security is intelligence  analysis  amp  quick response    c    ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  vsugrappa  what pm  narendramodi has stolen from the poor will be given back to the poor  nobody can stop  nyayforindia  humnibhayenge  ,congress,p
#humnibhayenge,  inckarnataka  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest families  ,congress,p
#humnibhayenge,  jainjain   in   bjp promised     crore jobs    lakh in accounts   women security   development   but deliver none   but rahul s  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge, withincldweep  adiravia  mayavi   hasibaamin  safwaninc  inctharoorian  vazeindian  mujworld  rafa___tweets    ,congress,p
#humnibhayenge,  incmaharashtra  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest famili  ,congress,p
#humnibhayenge, theskindoctor   ani when rahulji kept secret for so many years that he is a janeudhari hindu anything can be kept    ,congress,p
#humnibhayenge,  inckarnataka  what pm  narendramodi has stolen from the poor will be given back to the poor  nobody can stop  nyayforindia  humnibhayen  ,congress,p
#humnibhayenge,  inckarnataka  we believe in protecting our poor  under the nyay scheme     of the country s poorest will be able to live a life of dig  ,congress,p
#humnibhayenge,  inckarnataka  traders and businessmen will no longer have to navigate the maze that the gabbar singh tax is today  under congress  a si  ,congress,p
#humnibhayenge,  inckarnataka  our armed forces today are struggling for procuring new equipment with which to guard our borders  in a congress governme  ,congress,p
#humnibhayenge,  inckarnataka  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest families  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  ritambharaa  from  nyay to   days of mnrega to   lakh jobs    incindia manifesto is a study in integrity  amp  honesty  the title   humn  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  lakshadweepcon   momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at serv  ,congress,p
#humnibhayenge,  mahilacongress  nyay is not only a game changer but it is the fulfillment of the promise that our founding fathers made    swaraj  for  ,congress,p
#humnibhayenge,momentum is high    march on  lakshadweep  congress team     lakshadweep with  congress team   we pledge to be at s    ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  geetv   rahul gandhi proves a serious contender with a  manifesto    humnibhayenge  congressmanifesto    nyayforindia  congressmani  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  geetv    rahulgandhi  what has modi done for our soldiers who carry out surgical strikes   what has modi done for our defence forces   ,congress,p
#humnibhayenge,  geetv   rahul gandhi proves a serious contender with a  manifesto    humnibhayenge  congressmanifesto    nyayforindia  congressmani  ,congress,p
#humnibhayenge,  geetv    rahulgandhi  what has modi done for our soldiers who carry out surgical strikes   what has modi done for our defence forces   ,congress,p
#humnibhayenge,  geetv    the tax burden of the middle class  the average tax payer will not increase  confirmed  pchidambaram_in   nyayforindia  congr  ,congress,p
#humnibhayenge,  geetv    separate kisan budget with clarity on msps benefits   apmc to be scrapped farmers free to sell produce at best prices  farm l  ,congress,p
#humnibhayenge,  geetv           govt vacancies to be filled by march           rural youth to be employed in gram panchayats      yr exempt  ,congress,p
#humnibhayenge,  geetv    the tax burden of the middle class  the average tax payer will not increase  confirmed  pchidambaram_in   nyayforindia  congr  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge, bharatbolemodimodi  phirekbaarmodisarkaar  deshkeliyemodi  indiawantsmodiagain  indiasaysnamoagain  humnibhayenge    ,congress,p
#humnibhayenge, humnibhayenge   congressmanifesto  the key to internal security is intelligence  analysis  amp  quick response    c    ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  ritambharaa  from  nyay to   days of mnrega to   lakh jobs    incindia manifesto is a study in integrity  amp  honesty  the title   humn  ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  vikramaditya_jk  rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,rally at inderwal today   humnibhayenge   ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  ritambharaa  while  incindia  amp   rahulgandhi talk about the poor  farmers  mazdoor  women  the youth while  narendramodi harps on his co  ,congress,p
#humnibhayenge,  ritambharaa   arunjaitley  canadian  nationalist akshay kumar has a message for you  mr blogster  d   congressmanifesto   abnyayhoga  ,congress,p
#humnibhayenge,  incindia  we promise to restore the autonomy of our institutions such as the rbi  eci  cbi  cic without fear or favour   humnibhayenge  ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  ruchirac  favorite slogans from yesterday s manifesto launch       गर ब  पर व र  बहत तर हज  र  cp  rahulgandhi    we will create wealth  ,congress,p
#humnibhayenge,  aipcmumbaiwest  stay assured     humnibhayenge    ,congress,p
#humnibhayenge,  npatnaikodisha  at the launch of congress manifesto   with aicc communication convenor smt   priyankac     the congress party s man  ,congress,p
#humnibhayenge,  incmaharashtra  love not hate    humnibhayenge   ,congress,p
#humnibhayenge, abpnewshindi  sushmaswaraj  rahulgandhi national security is a issue of every indian and  incindia well concerned    ,congress,p
#humnibhayenge,  incmumbai  congress party will extend   per cent quota to women in parliament and assemblies  and the same percentage of reservation i  ,congress,p
#humnibhayenge,  kimhaokipinc  essential goods of mass consumption  such as food grains  life saving drugs  vaccines  etc   and essential services will  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  npatnaikodisha  at the launch of congress manifesto   with aicc communication convenor smt   priyankac     the congress party s man  ,congress,p
#humnibhayenge,  kewaldhilloninc  we promise to bring petrol and diesel prices under the ambit of gst so that the fuel prices are cheaper and better reg  ,congress,p
#humnibhayenge,  mahilacongress    incindia promises the right to housing for the urban poor and protection from arbitrary eviction  we will build night  ,congress,p
#humnibhayenge,  aipcmumbaiwest  stay assured     humnibhayenge    ,congress,p
#humnibhayenge,  mahilacongress   i ve never broken a promise that i ve made    humnibhayenge   ,congress,p
#humnibhayenge,  vardhannsui   humnibhayenge we will encourage and suppo micro and small enterprises that collectivise unorganised sector workers incl  ,congress,p
#humnibhayenge,  mahilacongress   i ve never broken a promise that i ve made    humnibhayenge   ,congress,p
#humnibhayenge,  kpatelinc  congress will radically simplify the gst regime with a single moderate rate of tax  zero rating of exports  and exemption fo  ,congress,p
#humnibhayenge,  kurup    humnibhayenge health care  congress promises total govt expenditure on health care will be doubled to    of gdp by      e  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge, tehseenp yes  he shd be treated with utmost respect  how do we pay back to the honest leaders who are behind bars    ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  exhortofgeeta  gst will be reformed and better policies will be implemented so as to help entrepreneurs the e way bill would be removed  ,congress,p
#humnibhayenge,  kurup    humnibhayenge health care  congress promises total govt expenditure on health care will be doubled to    of gdp by      e  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  tarunkcongress  it s after a long time that focus of a general election is gonna be on a political party s manifesto  do you know the r  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  dadascream  story of nda was definitely written by shakespeare wearing his comedy of errors hat  as a regulation  a minister who has no  ,congress,p
#humnibhayenge,  incmumbai  we promise protection of forest  wild life and biodiversity   humnibhayenge   ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  incindia  through the nyuntam aay yojana we will guarantee a minimum yearly income of rs      to   crore poorest families  which wil  ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  incindia  we promise to restore the autonomy of our institutions such as the rbi  eci  cbi  cic without fear or favour   humnibhayenge  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge, askanshul it s not only artists     every section of society students  teachers  farmers  writers  biz man      r    ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  congresssevadal  in the bjp government every independent institution has suffered an unprecedented loss of credibility  congress will r  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  incindia  we promise to restore the autonomy of our institutions such as the rbi  eci  cbi  cic without fear or favour   humnibhayenge  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,  incindia  we promise to restore the autonomy of our institutions such as the rbi  eci  cbi  cic without fear or favour   humnibhayenge  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  kurup    humnibhayenge health care  congress promises total govt expenditure on health care will be doubled to    of gdp by      e  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  incassam   congress party will extend   per cent quota to women in parliament and assemblies and the same percentage of reservation in  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  kurup    humnibhayenge health care  congress promises total govt expenditure on health care will be doubled to    of gdp by      e  ,congress,p
#humnibhayenge, humnibhayenge health care  congress promises total govt expenditure on health care will be doubled to    of gdp by    ,congress,p
#humnibhayenge, sudhanshutrived  what kind of narrative is this  aren t muslims living in india are as much indian citizen as you    ,congress,p
#humnibhayenge,  lakshadweepcon    lakshadweepcongressrevolution    pledge  amp  dedication to restore the development and welfare of all our  lakshadweep p  ,congress,p
#humnibhayenge,  geetv    separate kisan budget with clarity on msps benefits   apmc to be scrapped farmers free to sell produce at best prices  farm l  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  kimhaokipinc  essential goods of mass consumption  such as food grains  life saving drugs  vaccines  etc   and essential services will  ,congress,p
#humnibhayenge,  dadraandnhpmc  congress promises to revitalise the institutions that were brazenly undermined in the last   years such as rbi  eci  cic  ,congress,p
#humnibhayenge,  mahilacongress   i ve never broken a promise that i ve made    humnibhayenge   ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  mahilacongress    incindia promises the right to housing for the urban poor and protection from arbitrary eviction  we will build night  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  incmumbai  congress party will extend   per cent quota to women in parliament and assemblies  and the same percentage of reservation i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  npatnaikodisha  at the launch of congress manifesto   with aicc communication convenor smt   priyankac     the congress party s man  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  munavvarshihab  more than you  we are overwhelmed by seeing your charisma   rahulgandhi  rahulfromwayanad  rahulforbehtarbharat  humnib  ,congress,p
#humnibhayenge,  munavvarshihab  we are in need of a leader who talks and listen to common people   rahulgandhi  priyankagandhi  upa  humnibhayenge   ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,we are in need of a leader who talks and listen to common people   rahulgandhi  priyankagandhi  upa  humnibhayenge   ,congress,p
#humnibhayenge,  incindia  through the nyuntam aay yojana we will guarantee a minimum yearly income of rs      to   crore poorest families  which wil  ,congress,p
#humnibhayenge,  vinay_khamkar   humnibhayenge व द  हम न भ ए ग   we will         bring in nyay       year to india s poorest     stabilize fuel price  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  incmaharashtra  manifesto for the people  by the people  amp  of the people   we have delivered before  we will deliver again    humnibhaye  ,congress,p
#humnibhayenge,  incmaharashtra  love not hate    humnibhayenge   ,congress,p
#humnibhayenge,  incmaharashtra  through the nyuntam aay yojana  nyay  we will guarantee a minimum yearly income of rs      to   crore poorest famili  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge, ridzi_speaks_  insiaaaaa     sare important issues cover kiye hain congress ne    buredinjanewalehai    ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  simmiahuja_  dear indians   stop worrying now on useless issues   to develop this nation vote wisely   choose  incindia for inclusive d  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  aipcmumbaiwest  stay assured     humnibhayenge    ,congress,p
#humnibhayenge,  aipcmumbaiwest  stay assured     humnibhayenge    ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  aipcmumbaiwest  stay assured     humnibhayenge    ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  npatnaikodisha  at the launch of congress manifesto   with aicc communication convenor smt   priyankac     the congress party s man  ,congress,p
#humnibhayenge,  aipcmumbaiwest  stay assured     humnibhayenge    ,congress,p
#humnibhayenge,stay assured     humnibhayenge    ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge, hasibaamin  rahulforbehtarbharat   nyayforindia   humnibhayenge   loksabhaelections    nation wants congress ba    ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge, divyaspandana if the new voters  mostly student  amp  job aspirants  vote to congress  then cong will deliver      gdp    ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  varshasinghs  one of my friend says when he read the  congressmanifesto he felt as if jinnah has become alive  amp  personally written it   ,congress,p
#humnibhayenge,  npatnaikodisha  to ensure a life of dignity to all indians  congress will introduce the nyuntam aay yojana     nyay  under which rs     ,congress,p
#humnibhayenge,  npatnaikodisha  at the launch of congress manifesto   with aicc communication convenor smt   priyankac     the congress party s man  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  devv_nkumar   important highlights of  congress manifesto  humnibhayenge   jobs     lakhs        to be filled till  st march    ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  incindia  through the nyuntam aay yojana we will guarantee a minimum yearly income of rs      to   crore poorest families  which wil  ,congress,p
#humnibhayenge,  incindia  we promise to restore the autonomy of our institutions such as the rbi  eci  cbi  cic without fear or favour   humnibhayenge  ,congress,p
#humnibhayenge,  incindia  we will ensure our cities are empowered through directly elected mayors  to ensure accountability   humnibhayenge   ,congress,p
#humnibhayenge,i ve never broken a promise that i ve made    humnibhayenge   ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  jhasanjay  the  bjp has all the resources  advertisements  money and power  but that is no excuse for not defeating them  people want i  ,congress,p
#humnibhayenge,  msgpahujaa  a tsunami is on the way  which is going to sweep aside bjp sena in maharashtra there is massive suppo for  incindia these  ,congress,p
