,hashtag,tweet,party,polarity
35,#humnibhayenge,"#HumNibhayenge  #CongressManifesto2019 The key to internal security is intelligence, analysis &amp; quick response .  C… https://t.co/2FYJ2Rn4fG ",congress,p
36,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
37,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
38,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
39,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
40,#humnibhayenge,RT @vsugrappa: What PM @narendramodi has stolen from the poor will be given back to the poor. Nobody can stop #NYAYforIndia #HumNibhayenge… ,congress,p
41,#humnibhayenge,"RT @INCKarnataka: Through the Nyuntam Aay Yojana (NYAY) we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest families… ",congress,p
42,#humnibhayenge,RT @JainJain577: In 2014 BJP promised   2 crore Jobs  15 Lakh in accounts   Women Security   Development   but deliver NONE   But Rahul's… ,congress,p
43,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
44,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
45,#humnibhayenge,@WithIncLDweep @ADiravia @Mayavi101 @HasibaAmin @SafwanINC @INCTharoorian @VazeIndian @mujworld @Rafa___Tweets… https://t.co/EijMDrJ4mH ,congress,p
46,#humnibhayenge,"RT @INCMaharashtra: Through the Nyuntam Aay Yojana (NYAY) we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest famili… ",congress,p
47,#humnibhayenge,"@theskindoctor13 @ANI When Rahulji kept secret for so many years that he is a janeudhari Hindu,anything can be kept… https://t.co/FZW3nKljgF ",congress,p
48,#humnibhayenge,RT @INCKarnataka: What PM @narendramodi has stolen from the poor will be given back to the poor. Nobody can stop #NYAYforIndia #HumNibhayen… ,congress,p
49,#humnibhayenge,"RT @INCKarnataka: We believe in protecting our poor. Under the NYAY scheme, 20% of the country's poorest will be able to live a life of dig… ",congress,p
50,#humnibhayenge,"RT @INCKarnataka: Traders and businessmen will no longer have to navigate the maze that the Gabbar Singh Tax is today. Under Congress, a si… ",congress,p
51,#humnibhayenge,RT @INCKarnataka: Our armed forces today are struggling for procuring new equipment with which to guard our borders. In a Congress governme… ,congress,p
52,#humnibhayenge,"RT @INCKarnataka: Through the Nyuntam Aay Yojana (NYAY) we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest families… ",congress,p
53,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
54,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
55,#humnibhayenge,RT @RitambharaA: From #NYAY to 150 days of MNREGA to 22 lakh jobs - @INCIndia manifesto is a study in integrity &amp; honesty. The title '#HumN… ,congress,p
56,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
57,#humnibhayenge,RT @LakshadweepCon1: Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at serv… ,congress,p
58,#humnibhayenge,RT @MahilaCongress: Nyay is not only a game changer but it is the fulfillment of the promise that our founding fathers made - 'Swaraj' for… ,congress,p
59,#humnibhayenge,Momentum is High!   March on #Lakshadweep #Congress Team!   #Lakshadweep with #Congress Team👍  We pledge to be at s… https://t.co/X2nxwoGGK8 ,congress,p
60,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
61,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
62,#humnibhayenge,RT @geetv79: Rahul Gandhi Proves a Serious Contender With A+ Manifesto 👇 #HumNibhayenge #CongressManifesto2019  #NYAYforIndia #CongressMani… ,congress,p
63,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
64,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
65,#humnibhayenge,RT @geetv79: @RahulGandhi -What has Modi done for our Soldiers who carry out Surgical Strikes? -What has Modi done for our Defence forces?… ,congress,p
66,#humnibhayenge,RT @geetv79: Rahul Gandhi Proves a Serious Contender With A+ Manifesto 👇 #HumNibhayenge #CongressManifesto2019  #NYAYforIndia #CongressMani… ,congress,p
67,#humnibhayenge,RT @geetv79: @RahulGandhi -What has Modi done for our Soldiers who carry out Surgical Strikes? -What has Modi done for our Defence forces?… ,congress,p
68,#humnibhayenge,"RT @geetv79: ""The tax burden of the middle class, the average tax payer will👇NOT increase"" confirmed @PChidambaram_IN  #NYAYForIndia #Congr… ",congress,p
69,#humnibhayenge,RT @geetv79: -Separate Kisan Budget with clarity on MSPs/benefits  -APMC to be scrapped farmers free to sell produce at best prices -Farm l… ,congress,p
70,#humnibhayenge,"RT @geetv79: - 22,00,000 Govt Vacancies to be filled by March 2020 - 10,00,000 rural youth to be employed in Gram Panchayats  - 3 Yr Exempt… ",congress,p
71,#humnibhayenge,"RT @geetv79: ""The tax burden of the middle class, the average tax payer will👇NOT increase"" confirmed @PChidambaram_IN  #NYAYForIndia #Congr… ",congress,p
72,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
73,#humnibhayenge,#BharatBoleModiModi #PhirEKBaarModiSarkaar #DeshKeLiyeModi #IndiaWantsModiAgain #IndiaSaysNaMoAgain #HumNibhayenge… https://t.co/4ipii5ZucT ,congress,p
74,#humnibhayenge,"#HumNibhayenge  #CongressManifesto2019 The key to internal security is intelligence, analysis &amp; quick response .  C… https://t.co/2FYJ2Rn4fG ",congress,p
75,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
76,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
77,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
78,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
79,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
80,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
81,#humnibhayenge,RT @RitambharaA: From #NYAY to 150 days of MNREGA to 22 lakh jobs - @INCIndia manifesto is a study in integrity &amp; honesty. The title '#HumN… ,congress,p
82,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
83,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
84,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
85,#humnibhayenge,RT @vikramaditya_JK: Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
86,#humnibhayenge,Rally at Inderwal today. #HumNibhayenge https://t.co/IdmljFsrtS ,congress,p
87,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
88,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
89,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
90,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
91,#humnibhayenge,"RT @RitambharaA: While @INCIndia &amp; @RahulGandhi talk about the poor, farmers, mazdoor, women, the youth while @narendramodi harps on his co… ",congress,p
92,#humnibhayenge,"RT @RitambharaA: @arunjaitley (Canadian) Nationalist Akshay Kumar has a message for you, Mr Blogster :D  #CongressManifesto2019 #AbNyayHoga… ",congress,p
93,#humnibhayenge,"RT @INCIndia: We promise to restore the autonomy of our institutions such as the RBI, ECI, CBI, CIC without fear or favour. #HumNibhayenge… ",congress,p
94,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
95,#humnibhayenge,"RT @RuchiraC: Favorite slogans from yesterday's manifesto launch -   - गरीबी पर वार, बहत्तर हज़ार: CP @RahulGandhi  - We will create wealth… ",congress,p
96,#humnibhayenge,RT @AIPCMumbaiWest: Stay Assured !! #HumNibhayenge  https://t.co/gCLZai1U01 ,congress,p
97,#humnibhayenge,"RT @NPatnaikOdisha: At the launch of Congress Manifesto,2019 with AICC Communication Convenor Smt. @priyankac19.   The Congress Party's man… ",congress,p
98,#humnibhayenge,RT @INCMaharashtra: Love not Hate.  #HumNibhayenge https://t.co/nd9XzExR4e ,congress,p
99,#humnibhayenge,@abpnewshindi @SushmaSwaraj @RahulGandhi National security is a issue of every Indian and @INCIndia well concerned… https://t.co/Ns3OzW4Qb1 ,congress,p
100,#humnibhayenge,"RT @INCMumbai: Congress party will extend 33 per cent quota to women in Parliament and Assemblies, and the same percentage of reservation i… ",congress,p
101,#humnibhayenge,"RT @KimHaokipINC: Essential goods of mass consumption (such as food grains, life-saving drugs, vaccines, etc.) and essential services will… ",congress,p
102,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
103,#humnibhayenge,"RT @NPatnaikOdisha: At the launch of Congress Manifesto,2019 with AICC Communication Convenor Smt. @priyankac19.   The Congress Party's man… ",congress,p
104,#humnibhayenge,RT @KewalDhillonINC: We promise to bring petrol and diesel prices under the ambit of GST so that the fuel prices are cheaper and better reg… ,congress,p
105,#humnibhayenge,RT @MahilaCongress: .@INCIndia promises the Right to Housing for the urban poor and protection from arbitrary eviction. We will build night… ,congress,p
106,#humnibhayenge,RT @AIPCMumbaiWest: Stay Assured !! #HumNibhayenge  https://t.co/gCLZai1U01 ,congress,p
107,#humnibhayenge,"RT @MahilaCongress: ""I've never broken a promise that I've made."" #HumNibhayenge https://t.co/m4KyKL1kWX ",congress,p
108,#humnibhayenge,RT @VardhanNSUI: #HumNibhayenge We will encourage and support micro and small enterprises that collectivise unorganised sector workers incl… ,congress,p
109,#humnibhayenge,"RT @MahilaCongress: ""I've never broken a promise that I've made."" #HumNibhayenge https://t.co/m4KyKL1kWX ",congress,p
110,#humnibhayenge,"RT @KPatelINC: Congress will radically simplify the GST regime with a single moderate rate of tax, zero rating of exports, and exemption fo… ",congress,p
111,#humnibhayenge,RT @kurup62: #HumNibhayenge HEALTH CARE  Congress promises total govt expenditure on health care will be doubled to 3% of GDP by 2023-24  E… ,congress,p
112,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
113,#humnibhayenge,"@tehseenp Yes, he shd be treated with utmost respect, how do we pay back to the honest leaders who are behind bars… https://t.co/VJW6Nu1bBn ",congress,p
114,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
115,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
116,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
117,#humnibhayenge,RT @exhortofgeeta: GST will be reformed and better policies will be implemented so as to help entrepreneurs The e-way Bill would be removed… ,congress,p
118,#humnibhayenge,RT @kurup62: #HumNibhayenge HEALTH CARE  Congress promises total govt expenditure on health care will be doubled to 3% of GDP by 2023-24  E… ,congress,p
119,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
120,#humnibhayenge,RT @Tarunkcongress: It's after a long time that focus of a general election is gonna be on a political party's manifesto! Do you know the r… ,congress,p
121,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
122,#humnibhayenge,"RT @DadaScream: Story of NDA was definitely written by Shakespeare wearing his Comedy of Errors hat. As a regulation, a minister who has no… ",congress,p
123,#humnibhayenge,"RT @INCMumbai: We promise Protection of Forest, Wild life and Biodiversity. #HumNibhayenge https://t.co/PVhbIZ5Vjp ",congress,p
124,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
125,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
126,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
127,#humnibhayenge,"RT @INCIndia: Through the Nyuntam Aay Yojana we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest families, which wil… ",congress,p
128,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
129,#humnibhayenge,"RT @INCIndia: We promise to restore the autonomy of our institutions such as the RBI, ECI, CBI, CIC without fear or favour. #HumNibhayenge… ",congress,p
130,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
131,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
132,#humnibhayenge,"@AskAnshul It's not only Artists...  every section of society students, teachers, farmers, writers, biz man....  r… https://t.co/usKFdZ7LKK ",congress,p
133,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
134,#humnibhayenge,"RT @CongressSevadal: In the BJP government,every independent institution has suffered an unprecedented loss of credibility. Congress will r… ",congress,p
135,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
136,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
137,#humnibhayenge,"RT @INCIndia: We promise to restore the autonomy of our institutions such as the RBI, ECI, CBI, CIC without fear or favour. #HumNibhayenge… ",congress,p
138,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
139,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
140,#humnibhayenge,"RT @INCIndia: We will ensure our cities are empowered through directly elected Mayors, to ensure accountability. #HumNibhayenge https://t.c… ",congress,p
141,#humnibhayenge,"RT @INCIndia: We promise to restore the autonomy of our institutions such as the RBI, ECI, CBI, CIC without fear or favour. #HumNibhayenge… ",congress,p
142,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
143,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
144,#humnibhayenge,RT @kurup62: #HumNibhayenge HEALTH CARE  Congress promises total govt expenditure on health care will be doubled to 3% of GDP by 2023-24  E… ,congress,p
145,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
146,#humnibhayenge,"RT @INCAssam: ""Congress party will extend 33 per cent quota to women in Parliament and Assemblies and the same percentage of reservation in… ",congress,p
147,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
148,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
149,#humnibhayenge,RT @kurup62: #HumNibhayenge HEALTH CARE  Congress promises total govt expenditure on health care will be doubled to 3% of GDP by 2023-24  E… ,congress,p
150,#humnibhayenge,#HumNibhayenge HEALTH CARE  Congress promises total govt expenditure on health care will be doubled to 3% of GDP by… https://t.co/rLOna5nOEH ,congress,p
151,#humnibhayenge,@SudhanshuTrived  what kind of narrative is this. Aren’t Muslims living in India are as much Indian citizen as you… https://t.co/mqw6UXuHPz ,congress,p
152,#humnibhayenge,RT @LakshadweepCon1: #LakshadweepCongressRevolution!   Pledge &amp; Dedication to restore the development and welfare of all our #Lakshadweep p… ,congress,p
153,#humnibhayenge,RT @geetv79: -Separate Kisan Budget with clarity on MSPs/benefits  -APMC to be scrapped farmers free to sell produce at best prices -Farm l… ,congress,p
154,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
155,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
156,#humnibhayenge,"RT @KimHaokipINC: Essential goods of mass consumption (such as food grains, life-saving drugs, vaccines, etc.) and essential services will… ",congress,p
157,#humnibhayenge,"RT @DadraAndNHPMC: Congress promises to revitalise the institutions that were brazenly undermined in the last 5 years such as RBI, ECI, CIC… ",congress,p
158,#humnibhayenge,"RT @MahilaCongress: ""I've never broken a promise that I've made."" #HumNibhayenge https://t.co/m4KyKL1kWX ",congress,p
159,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
160,#humnibhayenge,RT @MahilaCongress: .@INCIndia promises the Right to Housing for the urban poor and protection from arbitrary eviction. We will build night… ,congress,p
161,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
162,#humnibhayenge,"RT @INCMumbai: Congress party will extend 33 per cent quota to women in Parliament and Assemblies, and the same percentage of reservation i… ",congress,p
163,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
164,#humnibhayenge,"RT @NPatnaikOdisha: At the launch of Congress Manifesto,2019 with AICC Communication Convenor Smt. @priyankac19.   The Congress Party's man… ",congress,p
165,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
166,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
167,#humnibhayenge,"RT @munavvarshihab: More than you, we are overwhelmed by seeing your charisma. #RahulGandhi #RahulFromWayanad #RahulForBehtarBharat #HumNib… ",congress,p
168,#humnibhayenge,RT @munavvarshihab: We are in need of a leader who talks and listen to common people. #RahulGandhi #PriyankaGandhi #UPA #HumNibhayenge http… ,congress,p
169,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
170,#humnibhayenge,"RT @JhaSanjay: The #BJP has all the resources, advertisements, money and power. But that is no excuse for not defeating them. People want i… ",congress,p
171,#humnibhayenge,We are in need of a leader who talks and listen to common people. #RahulGandhi #PriyankaGandhi #UPA #HumNibhayenge https://t.co/yvxogp1sP5 ,congress,p
172,#humnibhayenge,"RT @INCIndia: Through the Nyuntam Aay Yojana we will guarantee a minimum yearly income of Rs. 72,000 to 5 crore poorest families, which wil… ",congress,p
173,#humnibhayenge,"RT @vinay_khamkar: #HumNibhayenge वादा हम निभाएंगे। We will...   ▶️ bring in NYAY- ₹72,000/year to India's poorest! ▶️ stabilize fuel price… ",congress,p
174,#humnibhayenge,"RT @msgpahujaa: A Tsunami is on the way, which is going to sweep aside BJP/Sena in Maharashtra.There is massive support for @INCIndia These… ",congress,p
